hazard_id,date,year,month,week,quarter,weekday,area_code,area_name,hazard_category,hazard_type,description,risk_level,risk_score,status,rectify_date,rectify_days,responsible,inspector,data_type
HZ-2024-00017,2024-01-03,2024,1,1,2024Q1,Wednesday,SULFURIC_ACID,硫酸车间,消防安全,消防栓问题,硫酸车间消防栓被遮挡,Medium,4,已整改,2024-01-08,5.0,蒋建华,梁辉,historical
HZ-2024-00015,2024-01-03,2024,1,1,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,消防安全,应急照明故障,镍钴车间应急照明灯不亮,Medium,5,已整改,2024-01-06,3.0,吴瑞,张桂珍,historical
HZ-2024-00014,2024-01-03,2024,1,1,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,机械安全,设备故障,镍钴车间设备异常振动未处理,Low,2,已整改,2024-01-16,13.0,姜成,邱杰,historical
HZ-2024-00016,2024-01-03,2024,1,1,2024Q1,Wednesday,FINISHED_GOODS,成品仓库,电气安全,线路老化,成品仓库线路超负荷运行,Low,1,已整改,2024-01-22,19.0,卢玉华,王玉梅,historical
HZ-2024-00025,2024-01-04,2024,1,1,2024Q1,Thursday,EXTRACTION,萃取车间,行走安全,地面湿滑,萃取车间地面积水未及时清理,Low,1,已整改,2024-01-22,18.0,任帆,王凤英,historical
HZ-2024-00020,2024-01-04,2024,1,1,2024Q1,Thursday,UTILITIES,公用工程,作业安全,高处作业违规,公用工程高处作业未系安全带,Medium,5,已整改,2024-01-07,3.0,潘帅,刘利,historical
HZ-2024-00021,2024-01-04,2024,1,1,2024Q1,Thursday,NICKEL_COBALT,镍钴车间,机械安全,紧急停止失效,镍钴车间急停按钮失效,Low,3,已整改,2024-01-13,9.0,景桂珍,颜俊,historical
HZ-2024-00022,2024-01-04,2024,1,1,2024Q1,Thursday,ELECTROLYSIS,电解车间,行走安全,地面湿滑,电解车间油污导致地面湿滑,Medium,6,已整改,2024-01-10,6.0,郭玉英,杨峰,historical
HZ-2024-00023,2024-01-04,2024,1,1,2024Q1,Thursday,EXTRACTION,萃取车间,行走安全,照明不足,萃取车间照度不达标,High,9,已整改,2024-01-07,3.0,蒋红,吴娟,historical
HZ-2024-00024,2024-01-04,2024,1,1,2024Q1,Thursday,SULFURIC_ACID,硫酸车间,特种设备,叉车违规,硫酸车间叉车超速行驶,Medium,7,已整改,2024-01-09,5.0,马桂芳,刘秀云,historical
HZ-2024-00026,2024-01-05,2024,1,1,2024Q1,Friday,WASTEWATER,废水处理,个人防护,防护用品缺失,废水处理专用防护用品未配备,Low,2,已整改,2024-02-20,46.0,丁明,黄岩,historical
HZ-2024-00027,2024-01-05,2024,1,1,2024Q1,Friday,WASTEWATER,废水处理,行走安全,通道障碍,废水处理通道被物料堆占,Low,3,已整改,2024-01-31,26.0,黄丽娟,陆雪,historical
HZ-2024-00028,2024-01-05,2024,1,1,2024Q1,Friday,WASTEWATER,废水处理,个人防护,PPE佩戴不规范,废水处理作业人员未佩戴安全帽,Low,1,已整改,2024-01-12,7.0,陈凯,萧丹丹,historical
HZ-2024-00029,2024-01-05,2024,1,1,2024Q1,Friday,SULFURIC_ACID,硫酸车间,消防安全,烟感故障,硫酸车间烟感探测器被遮挡,Low,1,已整改,2024-01-24,19.0,赵坤,王桂香,historical
HZ-2024-00030,2024-01-05,2024,1,1,2024Q1,Friday,UTILITIES,公用工程,消防安全,烟感故障,公用工程烟感探测器故障未修复,Medium,4,已整改,2024-01-11,6.0,邓莹,黄霞,historical
HZ-2024-00031,2024-01-05,2024,1,1,2024Q1,Friday,SULFURIC_ACID,硫酸车间,消防安全,烟感故障,硫酸车间烟感探测器被遮挡,High,8,已整改,2024-01-06,1.0,吴林,滕畅,historical
HZ-2024-00033,2024-01-06,2024,1,1,2024Q1,Saturday,NICKEL_COBALT,镍钴车间,化学品安全,存储不当,镍钴车间化学品未分类存放,Medium,5,已整改,2024-01-19,13.0,张玉,李静,historical
HZ-2024-00032,2024-01-06,2024,1,1,2024Q1,Saturday,NICKEL_COBALT,镍钴车间,电气安全,线路老化,镍钴车间电缆绝缘层破损,Low,1,已整改,2024-01-25,19.0,高玉华,蒋红,historical
HZ-2024-00035,2024-01-07,2024,1,1,2024Q1,Sunday,RAW_MATERIAL,原料仓库,消防安全,消防栓问题,原料仓库消防栓被遮挡,Medium,4,已整改,2024-01-10,3.0,顾秀云,杨成,historical
HZ-2024-00034,2024-01-07,2024,1,1,2024Q1,Sunday,SULFURIC_ACID,硫酸车间,机械安全,防护罩缺失,硫酸车间设备防护装置被拆除,Low,2,已整改,2024-01-21,14.0,孔强,罗玉英,historical
HZ-2024-00036,2024-01-08,2024,1,2,2024Q1,Monday,ELECTROLYSIS,电解车间,消防安全,灭火器过期,电解车间灭火器超过有效期,Low,1,已整改,2024-02-06,29.0,张军,刘晶,historical
HZ-2024-00037,2024-01-08,2024,1,2,2024Q1,Monday,EXTRACTION,萃取车间,电气安全,接地不良,萃取车间接地电阻超标,Low,3,已整改,2024-02-06,29.0,袁艳,赵璐,historical
HZ-2024-00038,2024-01-08,2024,1,2,2024Q1,Monday,EXTRACTION,萃取车间,电气安全,漏电保护失效,萃取车间漏电保护器未定期检测,Medium,7,已整改,2024-01-18,10.0,蔡建,晁秀荣,historical
HZ-2024-00039,2024-01-08,2024,1,2,2024Q1,Monday,ELECTROLYSIS,电解车间,消防安全,消防通道堵塞,电解车间安全出口被锁闭,High,9,已整改,2024-01-10,2.0,马静,杨红霞,historical
HZ-2024-00040,2024-01-08,2024,1,2,2024Q1,Monday,ELECTROLYSIS,电解车间,化学品安全,混存问题,电解车间氧化剂与还原剂混存,Low,2,已整改,2024-03-01,53.0,刘婷,冯婷婷,historical
HZ-2024-00041,2024-01-08,2024,1,2,2024Q1,Monday,WASTEWATER,废水处理,化学品安全,MSDS缺失,废水处理未配备化学品安全技术说明书,Medium,5,已整改,2024-01-19,11.0,李洁,刘娟,historical
HZ-2024-00042,2024-01-09,2024,1,2,2024Q1,Tuesday,CONTROL_CENTER,中控室,化学品安全,混存问题,中控室酸碱类化学品混存,Low,1,已整改,2024-01-20,11.0,何鹏,田利,historical
HZ-2024-00043,2024-01-09,2024,1,2,2024Q1,Tuesday,CONTROL_CENTER,中控室,化学品安全,存储不当,中控室化学品未分类存放,Low,3,已整改,2024-02-02,24.0,窦林,王玲,historical
HZ-2024-00044,2024-01-09,2024,1,2,2024Q1,Tuesday,SULFURIC_ACID,硫酸车间,作业安全,吊装作业问题,硫酸车间吊装区域无警戒,Medium,4,已整改,2024-01-21,12.0,胡军,何帅,historical
HZ-2024-00045,2024-01-09,2024,1,2,2024Q1,Tuesday,EXTRACTION,萃取车间,机械安全,设备故障,萃取车间设备带病运行,Low,1,已整改,2024-01-17,8.0,苏峰,冯明,historical
HZ-2024-00046,2024-01-09,2024,1,2,2024Q1,Tuesday,SULFURIC_ACID,硫酸车间,消防安全,灭火器过期,硫酸车间灭火器超过有效期,Low,3,已整改,2024-02-07,29.0,刘林,史欢,historical
HZ-2024-00047,2024-01-09,2024,1,2,2024Q1,Tuesday,NICKEL_COBALT,镍钴车间,电气安全,漏电保护失效,镍钴车间漏电保护器未定期检测,Medium,5,已整改,2024-01-12,3.0,吴淑兰,刘莹,historical
HZ-2024-00055,2024-01-10,2024,1,2,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,电气安全,临时用电,镍钴车间临时配电箱未接地,Medium,7,已整改,2024-01-21,11.0,李丽丽,谢玉英,historical
HZ-2024-00054,2024-01-10,2024,1,2,2024Q1,Wednesday,WASTEWATER,废水处理,行走安全,地面湿滑,废水处理油污导致地面湿滑,Low,2,已整改,2024-01-31,21.0,张霞,王玉英,historical
HZ-2024-00053,2024-01-10,2024,1,2,2024Q1,Wednesday,RAW_MATERIAL,原料仓库,机械安全,防护罩缺失,原料仓库设备防护装置被拆除,Low,2,已整改,2024-01-28,18.0,吴丽丽,何婷,historical
HZ-2024-00052,2024-01-10,2024,1,2,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,行走安全,护栏缺失,镍钴车间平台护栏缺失,Low,3,已整改,2024-01-21,11.0,阳辉,刘红霞,historical
HZ-2024-00051,2024-01-10,2024,1,2,2024Q1,Wednesday,WASTEWATER,废水处理,机械安全,防护罩缺失,废水处理设备防护装置被拆除,Low,2,已整改,2024-02-07,28.0,武峰,朱桂荣,historical
HZ-2024-00050,2024-01-10,2024,1,2,2024Q1,Wednesday,CONTROL_CENTER,中控室,机械安全,设备故障,中控室设备带病运行,Medium,5,已整改,2024-01-19,9.0,游婷婷,刘霞,historical
HZ-2024-00049,2024-01-10,2024,1,2,2024Q1,Wednesday,EXTRACTION,萃取车间,行走安全,台阶损坏,萃取车间楼梯台阶破损,Low,1,已整改,2024-01-20,10.0,张建平,潘辉,historical
HZ-2024-00048,2024-01-10,2024,1,2,2024Q1,Wednesday,RAW_MATERIAL,原料仓库,消防安全,烟感故障,原料仓库烟感探测器被遮挡,Medium,4,已整改,2024-01-14,4.0,周丽丽,花霞,historical
HZ-2024-00056,2024-01-11,2024,1,2,2024Q1,Thursday,WASTEWATER,废水处理,电气安全,配电箱隐患,废水处理配电箱门未关闭上锁,Low,1,已整改,2024-02-07,27.0,张建军,庞婷,historical
HZ-2024-00057,2024-01-11,2024,1,2,2024Q1,Thursday,ELECTROLYSIS,电解车间,行走安全,护栏缺失,电解车间平台护栏缺失,High,9,已整改,2024-01-12,1.0,赵林,董凤英,historical
HZ-2024-00058,2024-01-11,2024,1,2,2024Q1,Thursday,FINISHED_GOODS,成品仓库,行走安全,通道障碍,成品仓库通道被物料堆占,Low,2,已整改,2024-02-10,30.0,聂婷,李磊,historical
HZ-2024-00059,2024-01-11,2024,1,2,2024Q1,Thursday,NICKEL_COBALT,镍钴车间,化学品安全,混存问题,镍钴车间酸碱类化学品混存,Medium,5,已整改,2024-01-17,6.0,徐林,陈慧,historical
HZ-2024-00060,2024-01-11,2024,1,2,2024Q1,Thursday,SULFURIC_ACID,硫酸车间,电气安全,配电箱隐患,硫酸车间配电箱门未关闭上锁,Medium,5,已整改,2024-01-24,13.0,董荣,侯明,historical
HZ-2024-00061,2024-01-11,2024,1,2,2024Q1,Thursday,EXTRACTION,萃取车间,消防安全,消防通道堵塞,萃取车间安全出口被锁闭,Low,3,已整改,2024-02-08,28.0,甘雷,张霞,historical
HZ-2024-00062,2024-01-12,2024,1,2,2024Q1,Friday,SULFURIC_ACID,硫酸车间,个人防护,防护用品缺失,硫酸车间防护用品配备不足,Medium,6,已整改,2024-01-23,11.0,柳桂芝,梁鹏,historical
HZ-2024-00063,2024-01-12,2024,1,2,2024Q1,Friday,RAW_MATERIAL,原料仓库,行走安全,通道障碍,原料仓库通道被物料堆占,Low,3,已整改,2024-01-23,11.0,陈淑英,万秀兰,historical
HZ-2024-00064,2024-01-12,2024,1,2,2024Q1,Friday,WASTEWATER,废水处理,电气安全,配电箱隐患,废水处理配电箱门未关闭上锁,Low,1,已整改,2024-02-07,26.0,徐建华,曹丽娟,historical
HZ-2024-00065,2024-01-12,2024,1,2,2024Q1,Friday,WASTEWATER,废水处理,化学品安全,存储不当,废水处理危化品超量存储,Low,2,已整改,2024-01-29,17.0,张玉兰,樊志强,historical
HZ-2024-00066,2024-01-12,2024,1,2,2024Q1,Friday,FINISHED_GOODS,成品仓库,消防安全,消防通道堵塞,成品仓库安全出口被锁闭,Low,3,已整改,2024-02-08,27.0,郭明,李建华,historical
HZ-2024-00067,2024-01-12,2024,1,2,2024Q1,Friday,FINISHED_GOODS,成品仓库,消防安全,烟感故障,成品仓库烟感探测器故障未修复,Medium,7,已整改,2024-01-26,14.0,邓小红,李慧,historical
HZ-2024-00069,2024-01-13,2024,1,2,2024Q1,Saturday,ELECTROLYSIS,电解车间,个人防护,防护用品缺失,电解车间专用防护用品未配备,Low,1,已整改,2024-02-02,20.0,张鑫,喻莉,historical
HZ-2024-00068,2024-01-13,2024,1,2,2024Q1,Saturday,NICKEL_COBALT,镍钴车间,化学品安全,存储不当,镍钴车间化学品未分类存放,Low,1,已整改,2024-01-20,7.0,卢刚,郭瑞,historical
HZ-2024-00070,2024-01-14,2024,1,2,2024Q1,Sunday,RAW_MATERIAL,原料仓库,行走安全,通道障碍,原料仓库安全通道宽度不足,Low,1,已整改,2024-02-01,18.0,吕洁,李淑英,historical
HZ-2024-00071,2024-01-14,2024,1,2,2024Q1,Sunday,NICKEL_COBALT,镍钴车间,消防安全,消防通道堵塞,镍钴车间消防通道被物料占用,Low,1,已整改,2024-02-27,44.0,黄东,孙岩,historical
HZ-2024-00072,2024-01-15,2024,1,3,2024Q1,Monday,EXTRACTION,萃取车间,电气安全,临时用电,萃取车间临时配电箱未接地,Low,3,已整改,2024-01-25,10.0,甘慧,苏丹丹,historical
HZ-2024-00073,2024-01-15,2024,1,3,2024Q1,Monday,SULFURIC_ACID,硫酸车间,行走安全,照明不足,硫酸车间照明灯损坏未更换,Low,3,已整改,2024-02-07,23.0,顾飞,马林,historical
HZ-2024-00074,2024-01-15,2024,1,3,2024Q1,Monday,WASTEWATER,废水处理,特种设备,锅炉隐患,废水处理锅炉水位计故障,Low,2,已整改,2024-02-10,26.0,李畅,马宁,historical
HZ-2024-00075,2024-01-15,2024,1,3,2024Q1,Monday,SULFURIC_ACID,硫酸车间,电气安全,漏电保护失效,硫酸车间漏电保护器未定期检测,Medium,4,已整改,2024-01-26,11.0,赵佳,赵平,historical
HZ-2024-00076,2024-01-15,2024,1,3,2024Q1,Monday,EXTRACTION,萃取车间,电气安全,临时用电,萃取车间临时电缆未架空，存在损坏风险,Low,1,已整改,2024-01-24,9.0,张桂英,郑红霞,historical
HZ-2024-00077,2024-01-15,2024,1,3,2024Q1,Monday,EXTRACTION,萃取车间,消防安全,灭火器过期,萃取车间灭火器压力不足,Low,1,已整改,2024-01-22,7.0,杨平,杨凤兰,historical
HZ-2024-00078,2024-01-15,2024,1,3,2024Q1,Monday,NICKEL_COBALT,镍钴车间,消防安全,消防通道堵塞,镍钴车间安全出口被锁闭,Low,2,已整改,2024-02-10,26.0,袁成,李丽,historical
HZ-2024-00079,2024-01-15,2024,1,3,2024Q1,Monday,SULFURIC_ACID,硫酸车间,电气安全,接地不良,硫酸车间设备接地线松动,Low,2,已整改,2024-02-03,19.0,唐想,许龙,historical
HZ-2024-00080,2024-01-15,2024,1,3,2024Q1,Monday,EXTRACTION,萃取车间,特种设备,压力容器超期,萃取车间安全阀未校验,Medium,5,已整改,2024-01-22,7.0,刘波,包超,historical
HZ-2024-00084,2024-01-16,2024,1,3,2024Q1,Tuesday,SULFURIC_ACID,硫酸车间,个人防护,防护用品缺失,硫酸车间防护用品配备不足,Low,1,已整改,2024-02-07,22.0,兰杰,朱东,historical
HZ-2024-00087,2024-01-16,2024,1,3,2024Q1,Tuesday,UTILITIES,公用工程,特种设备,叉车违规,公用工程叉车载人违规,High,8,已整改,2024-01-18,2.0,黄霞,李婷,historical
HZ-2024-00086,2024-01-16,2024,1,3,2024Q1,Tuesday,RAW_MATERIAL,原料仓库,作业安全,吊装作业问题,原料仓库吊装区域无警戒,Low,1,已整改,2024-02-13,28.0,吴倩,周帅,historical
HZ-2024-00085,2024-01-16,2024,1,3,2024Q1,Tuesday,FINISHED_GOODS,成品仓库,电气安全,配电箱隐患,成品仓库配电箱警示标识缺失,Low,2,已整改,2024-02-08,23.0,陈楠,马丽华,historical
HZ-2024-00082,2024-01-16,2024,1,3,2024Q1,Tuesday,NICKEL_COBALT,镍钴车间,机械安全,设备故障,镍钴车间设备异常振动未处理,Low,3,已整改,2024-02-22,37.0,张想,刘洁,historical
HZ-2024-00081,2024-01-16,2024,1,3,2024Q1,Tuesday,EXTRACTION,萃取车间,消防安全,灭火器过期,萃取车间灭火器压力不足,Low,1,已整改,2024-02-07,22.0,蒋凤英,邵坤,historical
HZ-2024-00083,2024-01-16,2024,1,3,2024Q1,Tuesday,UTILITIES,公用工程,个人防护,PPE佩戴不规范,公用工程作业人员未佩戴护目镜,Low,2,逾期,,,刘志强,舒秀云,historical
HZ-2024-00095,2024-01-17,2024,1,3,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,行走安全,地面湿滑,镍钴车间地面积水未及时清理,Low,2,已整改,2024-01-26,9.0,熊琴,李玉英,historical
HZ-2024-00088,2024-01-17,2024,1,3,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,化学品安全,标识缺失,镍钴车间管道标识不清,Low,3,已整改,2024-01-30,13.0,王颖,郭璐,historical
HZ-2024-00089,2024-01-17,2024,1,3,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,化学品安全,泄漏风险,镍钴车间管道法兰渗漏,Low,2,已整改,2024-02-09,23.0,黄桂香,陆玉兰,historical
HZ-2024-00090,2024-01-17,2024,1,3,2024Q1,Wednesday,CONTROL_CENTER,中控室,化学品安全,MSDS缺失,中控室未配备化学品安全技术说明书,Low,1,已整改,2024-02-14,28.0,宣小红,李敏,historical
HZ-2024-00091,2024-01-17,2024,1,3,2024Q1,Wednesday,NICKEL_COBALT,镍钴车间,作业安全,高处作业违规,镍钴车间高处作业未设置警戒,Medium,5,已整改,2024-01-23,6.0,孙雷,史飞,historical
HZ-2024-00092,2024-01-17,2024,1,3,2024Q1,Wednesday,CONTROL_CENTER,中控室,消防安全,烟感故障,中控室烟感探测器故障未修复,Low,3,已整改,2024-02-08,22.0,祝健,袁坤,historical
HZ-2024-00093,2024-01-17,2024,1,3,2024Q1,Wednesday,ELECTROLYSIS,电解车间,化学品安全,存储不当,电解车间危化品超量存储,Low,1,已整改,2024-02-22,36.0,曹帅,陈飞,historical
HZ-2024-00094,2024-01-17,2024,1,3,2024Q1,Wednesday,RAW_MATERIAL,原料仓库,电气安全,临时用电,原料仓库临时配电箱未接地,Low,2,已整改,2024-01-25,8.0,李芳,陈桂芝,historical
HZ-2024-00096,2024-01-17,2024,1,3,2024Q1,Wednesday,WASTEWATER,废水处理,消防安全,消防通道堵塞,废水处理消防通道被物料占用,Low,1,已整改,2024-02-12,26.0,黄俊,黎玉兰,historical
HZ-2024-00103,2024-01-18,2024,1,3,2024Q1,Thursday,RAW_MATERIAL,原料仓库,机械安全,设备故障,原料仓库设备异常振动未处理,High,10,已整改,2024-01-21,3.0,袁强,陆莉,historical
HZ-2024-00101,2024-01-18,2024,1,3,2024Q1,Thursday,UTILITIES,公用工程,化学品安全,存储不当,公用工程危化品超量存储,Low,1,已整改,2024-02-10,23.0,乔鹏,董红霞,historical
HZ-2024-00100,2024-01-18,2024,1,3,2024Q1,Thursday,UTILITIES,公用工程,机械安全,设备故障,公用工程设备异常振动未处理,Low,1,已整改,2024-02-22,35.0,李金凤,梅秀云,historical
HZ-2024-00102,2024-01-18,2024,1,3,2024Q1,Thursday,CONTROL_CENTER,中控室,行走安全,照明不足,中控室照度不达标,Low,3,已整改,2024-02-17,30.0,吴莹,张强,historical
HZ-2024-00098,2024-01-18,2024,1,3,2024Q1,Thursday,ELECTROLYSIS,电解车间,消防安全,应急照明故障,电解车间疏散指示标志损坏,Low,3,已整改,2024-03-06,48.0,孔莉,辛秀英,historical
HZ-2024-00097,2024-01-18,2024,1,3,2024Q1,Thursday,SULFURIC_ACID,硫酸车间,行走安全,照明不足,硫酸车间照度不达标,Low,3,已整改,2024-02-15,28.0,吴健,周楠,historical
HZ-2024-00099,2024-01-18,2024,1,3,2024Q1,Thursday,RAW_MATERIAL,原料仓库,化学品安全,混存问题,原料仓库氧化剂与还原剂混存,Medium,6,已整改,2024-02-01,14.0,胡琳,李丹丹,historical
HZ-2024-00104,2024-01-19,2024,1,3,2024Q1,Friday,SULFURIC_ACID,硫酸车间,行走安全,通道障碍,硫酸车间通道被物料堆占,Low,1,已整改,2024-02-16,28.0,赵淑英,冯志强,historical
HZ-2024-00105,2024-01-19,2024,1,3,2024Q1,Friday,RAW_MATERIAL,原料仓库,机械安全,传动部件裸露,原料仓库联轴器裸露,High,9,已整改,2024-01-22,3.0,谢凤兰,郭博,historical
HZ-2024-00106,2024-01-19,2024,1,3,2024Q1,Friday,UTILITIES,公用工程,电气安全,临时用电,公用工程临时配电箱未接地,Medium,7,已整改,2024-01-29,10.0,陈超,霍桂珍,historical
HZ-2024-00107,2024-01-19,2024,1,3,2024Q1,Friday,EXTRACTION,萃取车间,作业安全,受限空间问题,萃取车间受限空间作业无监护人,Low,3,已整改,2024-02-04,16.0,齐飞,骆云,historical
HZ-2024-00108,2024-01-19,2024,1,3,2024Q1,Friday,SULFURIC_ACID,硫酸车间,行走安全,通道障碍,硫酸车间通道被物料堆占,Medium,7,已整改,2024-01-25,6.0,李玉华,张玉华,historical
HZ-2024-00109,2024-01-19,2024,1,3,2024Q1,Friday,SULFURIC_ACID,硫酸车间,电气安全,临时用电,硫酸车间发现临时用电未办理审批手续,Low,1,已整改,2024-02-15,27.0,王桂珍,萧浩,historical
HZ-2024-00110,2024-01-19,2024,1,3,2024Q1,Friday,SULFURIC_ACID,硫酸车间,行走安全,照明不足,硫酸车间照明灯损坏未更换,Low,3,已整改,2024-02-07,19.0,刘明,单俊,historical
HZ-2024-00111,2024-01-20,2024,1,3,2024Q1,Saturday,RAW_MATERIAL,原料仓库,化学品安全,混存问题,原料仓库氧化剂与还原剂混存,Low,2,已整改,2024-02-18,29.0,单强,陈凤兰,historical
HZ-2024-00112,2024-01-20,2024,1,3,2024Q1,Saturday,CONTROL_CENTER,中控室,消防安全,烟感故障,中控室烟感探测器被遮挡,Medium,6,已整改,2024-02-01,12.0,何淑珍,邹海燕,historical
HZ-2024-00113,2024-01-21,2024,1,3,2024Q1,Sunday,SULFURIC_ACID,硫酸车间,电气安全,漏电保护失效,硫酸车间漏电保护器未定期检测,Low,1,已整改,2024-02-22,32.0,李春梅,陈丽丽,historical
HZ-2024-00114,2024-01-21,2024,1,3,2024Q1,Sunday,EXTRACTION,萃取车间,行走安全,地面湿滑,萃取车间油污导致地面湿滑,Low,1,已整改,2024-02-08,18.0,郝建华,张杨,historical
HZ-2024-00120,2024-01-22,2024,1,4,2024Q1,Monday,RAW_MATERIAL,原料仓库,电气安全,接地不良,原料仓库接地电阻超标,Low,1,已整改,2024-02-21,30.0,萧秀华,朱东,historical
HZ-2024-00119,2024-01-22,2024,1,4,2024Q1,Monday,EXTRACTION,萃取车间,化学品安全,MSDS缺失,萃取车间未配备化学品安全技术说明书,Low,3,已整改,2024-02-15,24.0,张畅,何淑兰,historical
HZ-2024-00118,2024-01-22,2024,1,4,2024Q1,Monday,RAW_MATERIAL,原料仓库,机械安全,传动部件裸露,原料仓库联轴器裸露,Low,1,已整改,2024-02-15,24.0,庄荣,郭秀芳,historical
HZ-2024-00116,2024-01-22,2024,1,4,2024Q1,Monday,UTILITIES,公用工程,消防安全,烟感故障,公用工程烟感探测器被遮挡,Medium,4,已整改,2024-01-28,6.0,刘志强,覃秀兰,historical
HZ-2024-00115,2024-01-22,2024,1,4,2024Q1,Monday,CONTROL_CENTER,中控室,化学品安全,泄漏风险,中控室储罐液位超限,Low,1,已整改,2024-02-21,30.0,王玲,程明,historical
HZ-2024-00117,2024-01-22,2024,1,4,2024Q1,Monday,NICKEL_COBALT,镍钴车间,电气安全,线路老化,镍钴车间线路超负荷运行,Low,3,已整改,2024-02-04,13.0,张雪梅,张红,historical
HZ-2024-00127,2024-01-23,2024,1,4,2024Q1,Tuesday,ELECTROLYSIS,电解车间,消防安全,消防通道堵塞,电解车间安全出口被锁闭,Low,1,已整改,2024-02-15,23.0,李文,梁涛,historical
HZ-2024-00125,2024-01-23,2024,1,4,2024Q1,Tuesday,FINISHED_GOODS,成品仓库,化学品安全,混存问题,成品仓库酸碱类化学品混存,Low,3,已整改,2024-02-19,27.0,刘建平,王秀云,historical
HZ-2024-00124,2024-01-23,2024,1,4,2024Q1,Tuesday,EXTRACTION,萃取车间,电气安全,配电箱隐患,萃取车间配电箱门未关闭上锁,Medium,5,已整改,2024-02-04,12.0,龚帅,王兰英,historical
HZ-2024-00126,2024-01-23,2024,1,4,2024Q1,Tuesday,SULFURIC_ACID,硫酸车间,电气安全,接地不良,硫酸车间接地电阻超标,Low,2,已整改,2024-02-17,25.0,朱丽丽,刘云,historical
